epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.69227,0.92598,2.8562,0.97438,0.10482,0.8597,0.43763,0.35195,0.81284,2.87324,0.84241,0.00035007,0.00035007,0.00035007
2,15.668,0.80099,1.15845,0.87227,0.83316,0.80207,0.87285,0.66679,0.78041,0.91748,0.8604,0.000693155,0.000693155,0.000693155
3,22.1247,0.70554,0.78886,0.85108,0.79428,0.85482,0.90491,0.76082,0.64365,0.80811,0.82815,0.00101204,0.00101204,0.00101204
4,28.8814,0.69673,0.71034,0.84916,0.85461,0.83228,0.91664,0.77156,0.63853,0.7553,0.82619,0.00130671,0.00130671,0.00130671
5,35.6165,0.65093,0.67892,0.84665,0.89914,0.86381,0.93654,0.81486,0.59932,0.6809,0.8188,0.00144696,0.00144696,0.00144696
6,48.8972,0.63221,0.60652,0.84433,0.88456,0.88488,0.94195,0.82325,0.57145,0.61848,0.81625,0.00139195,0.00139195,0.00139195
7,55.0437,0.63042,0.60462,0.8442,0.88809,0.88414,0.94174,0.83273,0.57203,0.61749,0.81597,0.00133693,0.00133693,0.00133693
8,61.226,0.61866,0.58984,0.84309,0.88563,0.88562,0.9511,0.83962,0.5554,0.58464,0.8127,0.00128192,0.00128192,0.00128192
9,67.7029,0.61823,0.5673,0.84496,0.91553,0.87731,0.95229,0.83916,0.56695,0.57213,0.81464,0.00122691,0.00122691,0.00122691
10,74.7061,0.59772,0.54879,0.84183,0.92046,0.88061,0.95334,0.85172,0.55454,0.55293,0.81618,0.0011719,0.0011719,0.0011719
11,81.886,0.60265,0.54797,0.83826,0.91266,0.89324,0.95667,0.86307,0.51603,0.52605,0.81025,0.00111689,0.00111689,0.00111689
12,88.3932,0.5761,0.5246,0.83416,0.91459,0.88166,0.95624,0.85549,0.53693,0.50975,0.81314,0.00106188,0.00106188,0.00106188
13,95.0049,0.5701,0.52533,0.83753,0.90562,0.90019,0.95794,0.85784,0.53444,0.51082,0.81095,0.00100687,0.00100687,0.00100687
14,101.469,0.56602,0.5093,0.83045,0.89341,0.89249,0.95635,0.86392,0.49618,0.50248,0.80687,0.000951857,0.000951857,0.000951857
15,107.85,0.55638,0.49278,0.8301,0.90797,0.89976,0.95904,0.86052,0.52778,0.49316,0.81063,0.000896846,0.000896846,0.000896846
16,114.472,0.55592,0.48733,0.83124,0.93097,0.88133,0.95778,0.87297,0.48786,0.49324,0.80661,0.000841835,0.000841835,0.000841835
17,121.123,0.54013,0.48256,0.82651,0.9102,0.89281,0.96026,0.87114,0.49188,0.47871,0.8068,0.000786824,0.000786824,0.000786824
18,127.812,0.52816,0.47153,0.82668,0.91277,0.8963,0.95899,0.86812,0.4963,0.46809,0.80806,0.000731813,0.000731813,0.000731813
19,134.25,0.53228,0.47174,0.83048,0.90653,0.90339,0.96088,0.87377,0.4922,0.45057,0.80649,0.000676802,0.000676802,0.000676802
20,141.288,0.53329,0.46029,0.82681,0.9176,0.8947,0.95956,0.87174,0.48872,0.45346,0.80582,0.000621791,0.000621791,0.000621791
21,149.721,0.55294,0.6288,0.82797,0.92633,0.88028,0.95344,0.86567,0.49623,0.52288,0.80588,0.00056678,0.00056678,0.00056678
22,154.93,0.52306,0.56246,0.81818,0.92214,0.88859,0.96066,0.86746,0.48797,0.4924,0.80481,0.000511769,0.000511769,0.000511769
23,160.039,0.52214,0.55251,0.81803,0.93488,0.87536,0.95682,0.86371,0.5199,0.49212,0.80667,0.000456758,0.000456758,0.000456758
24,165.181,0.49991,0.49349,0.81383,0.91425,0.90924,0.9611,0.87287,0.49008,0.46134,0.80476,0.000401747,0.000401747,0.000401747
25,170.227,0.50048,0.47421,0.81148,0.92185,0.89907,0.96096,0.87096,0.49365,0.45786,0.80338,0.000346736,0.000346736,0.000346736
26,175.225,0.49422,0.45599,0.81196,0.92546,0.90369,0.96228,0.87512,0.48172,0.44789,0.80453,0.000291725,0.000291725,0.000291725
27,180.279,0.48475,0.45069,0.80852,0.91772,0.90566,0.96056,0.8756,0.48605,0.45227,0.8037,0.000236714,0.000236714,0.000236714
28,185.249,0.48406,0.47014,0.81168,0.91914,0.89887,0.96224,0.87574,0.47859,0.42986,0.80411,0.000181703,0.000181703,0.000181703
29,190.29,0.48667,0.44145,0.81131,0.90903,0.90746,0.96227,0.87808,0.4743,0.43146,0.80286,0.000126692,0.000126692,0.000126692
30,195.356,0.486,0.44348,0.80882,0.93049,0.89485,0.96247,0.88071,0.47023,0.42727,0.80285,7.1681e-05,7.1681e-05,7.1681e-05
